ds,yhat,yhat_lower,yhat_upper
2025-09-29,284.2127321770334,267.7934552089286,300.5105151860976
2025-09-30,296.0938253904728,279.79570147206414,311.6314704131045
2025-10-01,284.00315461998554,268.3881113725915,299.8904693314067
2025-10-02,292.4320865803599,276.3553194636816,308.07118764863117
2025-10-03,337.22502940815957,321.28659070049486,352.4683173437667
2025-10-04,290.20100238421435,273.196091939569,307.1119612005086
2025-10-05,343.6119712784101,328.0069653208331,361.3286566556563
2025-10-06,284.42424112651173,268.82910499376834,300.5751232444366
2025-10-07,296.30533444450714,280.9819494883347,313.0197468807483
2025-10-08,284.21466377918716,269.15574305046573,300.31711893480656
2025-10-09,292.6435958442812,276.92517509193544,309.1681623090605
2025-10-10,337.43653863184517,322.4764164559772,354.0372546022457
2025-10-11,290.4125115675307,273.2994270714303,306.4586444928876
2025-10-12,343.8234804213631,327.69636566432877,360.1151554406528
2025-10-13,284.63575022906156,268.2337193431172,301.08219593053747
2025-10-14,296.5168436326758,280.45753018455736,312.49825301710007
2025-10-15,284.4261730525929,267.8700651198338,300.15980153553346
2025-10-16,292.8551052033087,277.24476719966157,309.7760392476367
2025-10-17,337.6480480719437,321.0515702078425,354.2018656881749
2025-10-18,290.62402108858885,275.0402277197468,307.3890624069592
2025-10-19,344.03499002349076,327.3642138580104,359.54605803773836
2025-10-20,284.84725991211985,269.50504250153256,301.63552179457304
2025-10-21,296.72835331579273,280.58494606456037,312.0222816190127
2025-10-22,284.63768273561953,270.0739132038119,302.3360110344744
2025-10-23,293.06661488662934,276.2900215010472,309.7689514975282
2025-10-24,337.85955775514293,321.1721144581622,352.92820521517484
2025-10-25,290.83553077179164,274.24639585626727,308.0635734522656
2025-10-26,344.2464997066473,329.08345232325473,361.5175323264842
2025-10-27,285.0587695953016,269.26086841069554,301.15732741837246
2025-10-28,296.93986299897136,281.314986929304,312.7407124641883
2025-10-29,284.84919241904123,268.1604284474192,301.1326198357827
2025-10-30,293.27812456959447,276.9211297045735,309.17319094262615
2025-10-31,338.07106743821936,322.1516157660893,353.92505282248817
2025-11-01,291.0470404549509,275.1410628874047,306.89093874012735
2025-11-02,344.45800938981506,327.3177586687693,359.6604320381282
2025-11-03,285.2702792783599,268.98979613511887,301.4245528996806
2025-11-04,297.1513726820882,281.0965724030823,314.26475120866127
2025-11-05,285.06070210206786,269.00345652367884,301.64960913217095
2025-11-06,293.48963425291504,276.7748225674795,309.50539901382956
2025-11-07,338.2825771214185,323.34074410515865,354.7019541903042
2025-11-08,291.25855013810735,276.3755401904305,309.3043920548826
2025-11-09,344.6695190729715,328.6173918629079,360.5590383713448
2025-11-10,285.4817889616652,270.15172138152997,302.44797546255415
2025-11-11,297.3628823653833,281.44487939958384,313.5843468625068
2025-11-12,285.2722117854316,269.4685896112449,300.7336400273223
2025-11-13,293.7011439359772,278.4626156831938,310.0900217692187
2025-11-14,338.4940868044949,322.6868160445294,353.6185416257087
2025-11-15,291.47005982126666,276.16367338702725,307.2857446518158
2025-11-16,344.88102875612805,328.0727830418055,362.27096279929424
2025-11-17,285.6932986447235,268.42581055556974,301.26916836120614
2025-11-18,297.5743920485002,280.9214033069139,313.3352027847246
2025-11-19,285.4837214684582,270.38328068827906,302.2895998105306
2025-11-20,293.9126536191201,277.23739398792316,309.407433615542
2025-11-21,338.7055964878168,321.0292337526351,355.82851993660523
2025-11-22,291.68156950442597,274.53416592016504,307.8521727638221
2025-11-23,345.092538439329,328.3440435581947,360.7212057892429
2025-11-24,285.9048083279879,270.1052739649444,302.282033153711
2025-11-25,297.7859017317953,281.62139905745124,313.69146680370767
2025-11-26,285.69523115168244,270.7226220485276,301.1513446179271
